,用户,评级,等级,日期,内容
34,语过添情,"['allstar40', 'rating']",推荐,2022-01-02 23:29:35,作为系列终章，主要看的还是情怀，作为一部爽片，忽略桥段上的尬点，还是一部非常好看的电影。
35,蓝格子,"['allstar40', 'rating']",推荐,2022-01-02 23:01:31,阵容惊喜，视效ok，除了引爆器为什么不爆，行李箱的钞票为什么不乱。
36,北野君,"['allstar30', 'rating']",还行,2021-12-31 20:57:28,ICAC撤退永远那么的淡定ho～
37,连城易脆,"['allstar20', 'rating']",较差,2022-01-02 20:19:35,我他妈的看的还是4DX厅，只要片中在拍摄正在驾驶的车辆，座椅就会开启震动模式，跟他妈按摩椅似的，弄得我一直分心。虽然最后是悲剧结尾，但是被这个4DX给整笑了。4DX绝对是反人类的发明。哈哈哈哈哈。另外这个系列能拍到5，而且前面4部票房一部比一部高，简直不可思议！也算是大陆电影市场存在某种畸形的印证吧。就先不说五毛特效了，最后大反派就这么被刀了也太儿戏了吧，结尾的设置使得前述的剧情完全没有任何意义了，属于编剧方面的自杀性釜底抽薪啊，写剧本的人脑子一定瓦特了。
38,鬼腳七,"['allstar20', 'rating']",较差,2022-01-01 16:43:35,虽然有的地方还挺有意思的，但是这个系列就保持队形一起两星吧
39,diivan,"['allstar10', 'rating']",很差,2021-12-31 22:28:16,我日啊学杜琪峰学得不要太明显，什么红酒泡面，刀切苹果，站位枪战。。不得不说香港电影人真的是“鸡贼”，用专业电影处理把这么一堆TVB常见人物关系剪在一起。捞钱辛苦了。
40,Augers,"['allstar40', 'rating']",推荐,2022-01-02 13:38:12,非常精彩的演出和配乐，导演的水平也非常高超
41,安大帅,"['allstar30', 'rating']",还行,2022-01-03 13:15:07,系列完结篇依旧是一股子廉价感，不过看这类流水线电影本来也就只是为了在大荧幕上看看香港演员。故事线一塌糊涂，什么题材都沾一点，结果什么都没讲清楚，主创们估计也觉得这个题材糊弄不下去了，最后让主角像丹尼尔·克雷格的邦德一样壮烈牺牲，然而正面镜头都没有，甚至严重怀疑还想起死回生拍续集……挺遗憾的是古天乐与宣萱几乎没啥对手戏……
42,米兰核心丹尼尔,"['allstar20', 'rating']",较差,2022-01-01 13:32:59,这个结尾真的是天才写的。。。。
43,喻鸣,"['allstar20', 'rating']",较差,2021-12-31 23:59:02,反贪系列一直没正儿八经跟过，第一次看大银幕就是给陆sir颁发终身成就奖，hk的廉政英雄落幕了。全是工具人，全是套路，保证在见古仔下一部之前就会将剧情忘得一干二净，但会记得结尾替罪女反杀大BOSS时狠绝的样子。
44,微微,"['allstar30', 'rating']",还行,2021-12-31 15:42:41,天地男儿，中年重聚
45,清酒,"['allstar30', 'rating']",还行,2021-12-31 14:09:50,古天乐帅的
46,旧巷1993,"['allstar20', 'rating']",较差,2022-01-01 22:28:29,如果不是这帮老演员 我就给一星了
47,殳（shū）禾,"['allstar30', 'rating']",还行,2022-01-01 15:31:35,片子超级烂，古仔大仙值三星
48,yѧѳ⑉爻,"['allstar30', 'rating']",还行,2021-12-31 20:29:27,有几个配角还蛮好看的【英皇影城
49,小托,"['allstar20', 'rating']",较差,2022-01-02 22:12:57,1.全程像在看邵氏老片，不可思议拍摄于21世纪之后。2.所有配音像是机器人，所有音乐都像是从哪里整包拿来扑上去的无关紧要。3.于是形成了一种奇妙的喜感，加上盖希望小学的古仔和帅得像穿越的智霖，居然生成了这片儿绝了，我看过前四部吗我不如重新去看看好了的思想感情。
50,孤岛,"['allstar40', 'rating']",推荐,2022-01-01 22:30:32,感觉中规中矩，因为收官之战所以支持下。
51,Sandy,"['allstar30', 'rating']",还行,2021-12-31 23:01:36,结局潦草 无厘头 有点对不起前期打下的基础
52,玩儿少,"['allstar20', 'rating']",较差,2022-01-02 16:16:15,《反贪风暴5：最后捞一次》
53,JoeyLu陆柏宇,"['allstar20', 'rating']",较差,2022-01-02 16:33:45,越来越难看
54,邵禹升,"['allstar20', 'rating']",较差,2021-12-31 18:16:05,草草结束，敷衍了事。这系列整整做了5部，最后如此烂尾，搞它干什么呢？最后居然还打了个情怀，好似人生传记一般……不过陆志廉这名字，好像的确是有点耳熟了，生于21世纪10年代，死于21世纪20年代。也算行了……
55,soul迪尔,"['allstar30', 'rating']",还行,2022-01-01 21:44:23,影片中港岛安保能力弱的一比，居然让一群拿着AK的匪徒光明正大得杀入国际会议现场，现场的便衣工作人员居然还被匪徒渗透。
56,今晚打老虎,"['allstar30', 'rating']",还行,2022-01-01 23:16:41,前面是港片的模式节奏，后面强行煽情和反派诡异可笑的死法，我和我的小伙伴都笑了
57,幼稚的体委,"['allstar20', 'rating']",较差,2022-01-03 22:27:49,乍眼看感觉没什么（后面加一个“但是”）。但是，拍得也太简单粗暴一点了吧，毫无惊喜感，相当平庸，角色约等于工具人，就是张继聪稍微有灵性一点。导演，就算是ICAC的广告，主旋律的电影，也不能瞎拍哦。抛开这些来说，本来想磕一下古天乐和宣萱CP的，不过他们联手的机会也太少了，有点失望又好笑。古天乐最后的飞天遁地扳回一城！ / 2022.1.3 红星电影世界
58,有心打扰,"['allstar20', 'rating']",较差,2022-01-02 22:56:37,太空馆的火山小视频+枪战，算是在死气沉沉的作品里难得的一抹亮色。
59,王小叶儿,"['allstar20', 'rating']",较差,2022-01-01 00:25:54,最后的黑白画面还是挺感触的，人的一生何尝不是如此，再辉煌、拼命，为你认为正确的拼尽全力，终究是梦一场。人只是宇宙之中的一粒微尘罢了，不是说人是多么渺小，只是人的短暂一生于宇宙而言真的稍纵即逝。
